uf,state_ibge_code,state_name,state_name_normalized
RO,11,Rondônia,RONDONIA
AC,12,Acre,ACRE
AM,13,Amazonas,AMAZONAS
RR,14,Roraima,RORAIMA
PA,15,Pará,PARA
AP,16,Amapá,AMAPA
TO,17,Tocantins,TOCANTINS
MA,21,Maranhão,MARANHAO
PI,22,Piauí,PIAUI
CE,23,Ceará,CEARA
RN,24,Rio Grande do Norte,RIO GRANDE DO NORTE
PB,25,Paraíba,PARAIBA
PE,26,Pernambuco,PERNAMBUCO
AL,27,Alagoas,ALAGOAS
SE,28,Sergipe,SERGIPE
BA,29,Bahia,BAHIA
MG,31,Minas Gerais,MINAS GERAIS
ES,32,Espírito Santo,ESPIRITO SANTO
RJ,33,Rio de Janeiro,RIO DE JANEIRO
SP,35,São Paulo,SAO PAULO
PR,41,Paraná,PARANA
SC,42,Santa Catarina,SANTA CATARINA
RS,43,Rio Grande do Sul,RIO GRANDE DO SUL
MS,50,Mato Grosso do Sul,MATO GROSSO DO SUL
MT,51,Mato Grosso,MATO GROSSO
GO,52,Goiás,GOIAS
DF,53,Distrito Federal,DISTRITO FEDERAL
